ID,Nombre,Precio,Descripción,SKU,URL Imagen
8243,Disco separador para muro de concreto,1129.00,"<p>Separador lateral, fuerte y ligero. Diseñado para mantener el acero al centro y lograr recubrimientos de concreto uniformes en ambos lados. Ideal para acabados aparentes.</p><p>Resistencia de Carga: 100 Kg</p><p>Muros de concreto con acero de refuerzo al centro.</p><p>Distanciador vertical, cuenta con un clip interno que aseguran la óptima sujeción del acero.</p><p>Garantizan recubrimientos exactos, y proporcionan acabados estéticos sin marcas aparentes.</p>",,https://cimbrayaccesorios.com.mx/wp-content/uploads/2025/02/disco-separador-para-muro-de-concreto-DFAC-2.jpg
8231,Separador para habilitar Viguetas,1281.00,"<p>Utilizado en la prefabricación de viguetas preferentemente de ‘’alma abierta’’, o bien en el colado de viguetas a las losas.</p><p>Diseñado para alinear correctamente aceros de refuerzo de hasta 1/2’’ en 3 posiciones diferentes en el eje de carga además de la armadura de acero y lograr la máxima resistencia de las viguetas.</p><p>Acero de refuerzo Adicional 1/8’’ hasta 1/2’’ en tres posiciones.</p>",,https://cimbrayaccesorios.com.mx/wp-content/uploads/2025/02/Separador-para-habilitar-viguetas-DFAC.jpg
8213,Silleta H para varilla,1281.00,"<p><span data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;Silleta para varilla de hasta 1 1/2&quot;, para recubrimiento de concreto de 4 cm, especial para prefabricados, todo tipo de losas, trabes, contratrabes, tilt-ups y post-tensados, para una carga maxima de 275 kg.&quot;}"" data-sheets-userformat=""{&quot;2&quot;:14593,&quot;3&quot;:{&quot;1&quot;:0,&quot;3&quot;:1},&quot;11&quot;:4,&quot;14&quot;:{&quot;1&quot;:3,&quot;3&quot;:1},&quot;15&quot;:&quot;Calibri&quot;,&quot;16&quot;:11}"">Silleta para varilla de hasta 1 1/2’’ para una carga máxima de 450 Kg.</span></p><p>Gran capacidad de carga, inmejorable diseño y mayor estabilidad, ya que sobre un eje tiene dos puntos de soporte para el acero. Excelente rendimiento en el concreto y agregados gruesos. Muy poca superficie de contacto, funciona para acabados aparentes.</p>",,https://cimbrayaccesorios.com.mx/wp-content/uploads/2025/02/SH-SILLETA-H-PARA-VARILLA-0-DFAC.jpg
8199,CHICOTE PARA VIBRADOR A GASOLINA MPOWER,0.00,"<p>CHICOTE PARA VIBRADOR A GASOLINA MPOWER</p>",,https://cimbrayaccesorios.com.mx/wp-content/uploads/2024/10/PORTADA-DE-CHICOTE-PARA-VIBRADOR-A-GASOLINA-MPOWER.jpg
8195,CHICOTE PARA VIBRADOR A GASOLINA ENAR,0.00,"<p>CHICOTE PARA VIBRADOR A GASOLINA ENAR</p>",,https://cimbrayaccesorios.com.mx/wp-content/uploads/2024/10/PORTADA-DE-CHICOTE-PARA-VIBRADOR-A-GASOLINA-ENAR.jpg
8186,VIBRADOR PARA CONCRETO EXTERNO WACKER NEUSON DFAC,12500.00,"<p>VIBRADOR PARA CONCRETO EXTERNO WACKER NEUSON DFAC</p>",,https://cimbrayaccesorios.com.mx/wp-content/uploads/2024/10/PORTADA-DE-VIBRADOR-PARA-CONCRETO-EXTERNO.-WACKER-NEUSON.jpg
8184,VIBRADOR PARA CONCRETO EXTERNO ENAR VEAF DFAC,12500.00,"<p>VIBRADOR PARA CONCRETO EXTERNO ENAR VEAF DFAC</p>",,https://cimbrayaccesorios.com.mx/wp-content/uploads/2024/10/PORTADA-DE-VIBRADOR-PARA-CONCRETO-EXTERNO.-ENAR-VEAF.jpg
8178,VIBRADOR PARA CONCRETO ELÉCTRICO DINGO,12500.00,"<p>VIBRADOR PARA CONCRETO ELÉCTRICO DINGO</p>",,https://cimbrayaccesorios.com.mx/wp-content/uploads/2024/10/PORTADA-DE-VIBRADOR-PARA-CONCRETO-ELECTRICO-ENAR-DINGO-DFAC.jpg
8162,VIBRADOR PARA CONCRETO DE ALTA FRECUENCIA ROCKET DFAC,0.00,"<p>VIBRADOR PARA CONCRETO DE ALTA FRECUENCIA ROCKET DFAC</p>",,https://cimbrayaccesorios.com.mx/wp-content/uploads/2024/10/PORTADA-DE-VIBRADOR-PARA-CONCRETO-DE-ALTA-FRECUENCIA-ENAR-ROCKET.jpg
8156,VIBRADOR PARA CONCRETO DE ALTA FRECUENCIA BOXEL DFAC,0.00,"<p>VIBRADOR PARA CONCRETO DE ALTA FRECUENCIA BOXEL DFAC</p>",,https://cimbrayaccesorios.com.mx/wp-content/uploads/2024/10/PORTADA-DE-VIBRADOR-PARA-CONCRETO-DE-ALTA-FRECUENCIA-ENAR-BOXEL-1.jpg
8146,VIBRADOR PARA CONCRETO DE ALTA FRECUENCIA I-SPYDER DFAC,0.00,"<p>VIBRADOR PARA CONCRETO DE ALTA FRECUENCIA I-SPYDER DFAC</p>",,https://cimbrayaccesorios.com.mx/wp-content/uploads/2024/10/PORTADA-DE-VIBRADOR-PARA-CONCRETO-DE-ALTA-FRECUENCIA-i-SPYDER.-DFAC.jpg
8133,VIBRADOR PARA CONCRETO GASOLINA BACKPACK ENAR,0.00,"<p>VIBRADOR PARA CONCRETO GASOLINA BACKPACK ENAR</p>",,https://cimbrayaccesorios.com.mx/wp-content/uploads/2024/10/PORTADA-DE-VIBRADOR-PARA-CONCRETO-GASOLINA-BACKPACK-ENAR.jpg
8125,VIBRADOR PARA CONCRETO A GASOLINA CIPSA DFAC,8800.00,"<p>VIBRADOR A GASOLINA DFAC 6.5 HP.</p>",,https://cimbrayaccesorios.com.mx/wp-content/uploads/2024/10/PORTADA-DE-VIBRADOR-PARA-CONCRETO-CIPSA.jpg
8092,PUNTAL METALICO EXTENSIBLE ITALIANO,905.00,"<p>PUNTAL METALICO EXTENSIBLE ITALIANO DE 2.20 A 4.00 MTS.</p>",,https://cimbrayaccesorios.com.mx/wp-content/uploads/2023/06/PUNTAL-METALICO-CONTAMOS-CON-STOCK-PRODUCTO-CON-CERTIFICACION-EUROPEA_DFAC.jpg
6146,BARRA ROSCADA,936.00,"<p>Barra cold roll de alta Resistencia, utilizada para fijar moldes o cimbras de elementos de concreto de gran volúmen.</p>",,https://cimbrayaccesorios.com.mx/wp-content/uploads/2023/06/BRS-58-3-IMAGEN-1.jpg
6140,BASE ESTABILIZADORA,612.50,"<p>Base estabilizadora para pie derecho (tripié)</p>",,https://cimbrayaccesorios.com.mx/wp-content/uploads/2023/06/imagen_2023-06-16_151824678.png
6128,LLANTA 8",909.37,"<p>Llanta 8&#8243; con freno de seguridad</p>",,https://cimbrayaccesorios.com.mx/wp-content/uploads/2023/06/imagen_2023-06-16_151057342.png
6124,PLATAFORMA PARA ANDAMIO,10467.81,"<p>Plataforma para andamio</p>",,https://cimbrayaccesorios.com.mx/wp-content/uploads/2023/06/imagen_2023-06-16_150820868.png
6119,CUERPO DE ANDAMIO,3598.13,"<p>Cuerpo de andamio pasillo 2 x 0.80 metros, cuerpo de andamio servicio 2 x 1.22 metros, cuerpo de andamio amplio 2 x 1.52 metros</p>",,https://cimbrayaccesorios.com.mx/wp-content/uploads/2023/06/imagen_2023-06-16_150633821.png
6115,PULSETA,500.00,"<p>Pulseta tipo cincel o lapiz</p>",,https://cimbrayaccesorios.com.mx/wp-content/uploads/2023/06/imagen_2023-06-16_150039073.png
6105,BAILARINA,33750.00,"<p>Bailarina con motor honda 5.5 hp</p>",,https://cimbrayaccesorios.com.mx/wp-content/uploads/2023/06/imagen_2023-06-16_145251203.png
6101,CHICOTE,3600.00,"<p>Chicote Mpower 4 o 7 metros con cabezal de 38 mm</p>",,https://cimbrayaccesorios.com.mx/wp-content/uploads/2023/06/imagen_2023-06-16_145056190.png
6098,VIBRADOR PARA CONCRETO ELÉCTRICO MAKITA,14900.00,"<p>VIBRADOR PARA CONCRETO ELÉCTRICO MAKITA</p>",,https://cimbrayaccesorios.com.mx/wp-content/uploads/2023/06/PORTADA-DE-VIBRADOR-PARA-CONCRETO-ELECTRICO-MAKITA-DFAC.jpg
6096,VIBRADOR PARA CONCRETO ELÉCTRICO MPOWER DFAC,12500.00,"<p>VIBRADOR PARA CONCRETO ELÉCTRICO MPOWER DFAC</p>",,https://cimbrayaccesorios.com.mx/wp-content/uploads/2023/06/PORTADA-DE-VIBRADOR-PARA-CONCRETO-ELECTRICO-MPOWER.jpg
6092,VIBRADOR PARA CONCRETO A GASOLINA DFAC,8800.00,"<p>VIBRADOR PARA CONCRETO A GASOLINA DFAC 6.5 HP.</p>",,https://cimbrayaccesorios.com.mx/wp-content/uploads/2023/06/PORTADA-DE-VIBRADOR-PARA-CONCRETO-DFAC-.jpg
6089,VIBRADOR PARA CONCRETO A GASOLINA MPOWER,0.00,"<p><span data-sheets-root=""1"">VIBRADOR PARA CONCRETO A GASOLINA MPOWER 5 HP, CON CHICOTE DE 7 MTS.</span></p>",,https://cimbrayaccesorios.com.mx/wp-content/uploads/2023/06/PORTADA-DE-VIBRADOR-PARA-CONCRETO-MPOWER.jpg
6081,REVOLVEDORA DFAC 13 HP,31500.00,"<p>Revolvedora de un saco marca DFAC con motor de 13 hp.</p>",,https://cimbrayaccesorios.com.mx/wp-content/uploads/2023/06/imagen_2023-06-16_143818522.png
6084,REVOLVEDORA DFAC 9 HP,29500.00,"<p>Revolvedora de un saco marca DFAC con motor de 9 hp.</p>",,https://cimbrayaccesorios.com.mx/wp-content/uploads/2023/06/imagen_2023-06-16_143818522.png
6078,REVOLVEDORA MPOWER,29500.00,"<p>Revolvedora de un saco marca MPOWER con motor de 9 hp.</p>",,https://cimbrayaccesorios.com.mx/wp-content/uploads/2023/06/imagen_2023-06-16_143547839.png
